horizon,maturity,pctile,yield_pct
3,0.25,25,2.4335801422335996
3,0.5,25,2.44385337260774
3,1.0,25,2.507109470386608
3,2.0,25,2.7466300959091594
3,3.0,25,3.002810137319092
3,5.0,25,3.4257898900977777
3,7.0,25,3.7004901976804816
3,10.0,25,3.9466925057553506
3,20.0,25,4.2191505384389645
3,30.0,25,4.307283021391162
3,0.25,50,3.526662591204802
3,0.5,50,3.5400506795554674
3,1.0,50,3.6107297436622017
3,2.0,50,3.8044674331980173
3,3.0,50,4.00699672333373
3,5.0,50,4.3365080878461715
3,7.0,50,4.554850206590877
3,10.0,50,4.75229958157166
3,20.0,50,4.984346575831438
3,30.0,50,5.064552284140681
3,0.25,75,4.595497251438183
3,0.5,75,4.624133920952543
3,1.0,75,4.7044595417655435
3,2.0,75,4.872472877549986
3,3.0,75,5.023084696715495
3,5.0,75,5.250834126456202
3,7.0,75,5.403756666769697
3,10.0,75,5.554767881882763
3,20.0,75,5.75004828751383
3,30.0,75,5.821602829821501
3,0.25,95,6.165124727031401
3,0.5,95,6.212374193654295
3,1.0,95,6.312780837734814
3,2.0,95,6.450239095932953
3,3.0,95,6.524186298504056
3,5.0,95,6.600913052945426
3,7.0,95,6.6663251941140516
3,10.0,95,6.722055499797209
3,20.0,95,6.855525235670706
3,30.0,95,6.905904080368414
5,0.25,5,0.00963669230939213
5,0.5,5,0.018766048944950344
5,1.0,5,0.10780603406033724
5,2.0,5,0.4307759918955925
5,3.0,5,0.8195960871498235
5,5.0,5,1.4746109219250858
5,7.0,5,1.8792386272238661
5,10.0,5,2.226871868694572
5,20.0,5,2.5980820449867603
5,30.0,5,2.7096043274011032
5,0.25,25,1.81990217690019
5,0.5,25,1.838254691196239
5,1.0,25,1.9091636786890949
5,2.0,25,2.1830897737994674
5,3.0,25,2.485623875770093
5,5.0,25,2.978661029462006
5,7.0,25,3.289055868808767
5,10.0,25,3.5590607606162488
5,20.0,25,3.876580486758643
5,30.0,25,3.980189021387377
5,0.25,50,3.0970204344159002
5,0.5,50,3.1208998346160817
5,1.0,50,3.2027161006868567
5,2.0,50,3.4357284115211426
5,3.0,50,3.6727221545109927
5,5.0,50,4.045551211920303
5,7.0,50,4.299706614404387
5,10.0,50,4.522617073062898
5,20.0,50,4.788324967219772
5,30.0,50,4.8824065375516135
5,0.25,75,4.365976787407807
5,0.5,75,4.407343250774354
5,1.0,75,4.483676808851534
5,2.0,75,4.670017862820546
5,3.0,75,4.848900948719477
5,5.0,75,5.121141545859402
5,7.0,75,5.290423890365393
5,10.0,75,5.447281302816119
5,20.0,75,5.672014032846998
5,30.0,75,5.756196892654095
5,0.25,95,6.184471358804304
5,0.5,95,6.225772753550152
5,1.0,95,6.310639478545576
5,2.0,95,6.439772836346259
5,3.0,95,6.529445352065514
5,5.0,95,6.6432801269082455
5,7.0,95,6.717456469208536
5,10.0,95,6.810708523501129
5,20.0,95,6.957187929064017
5,30.0,95,7.033513722822734
10,0.25,5,-0.6251980016403833
10,0.5,5,-0.6150338757361847
10,1.0,5,-0.5472040500253665
10,2.0,5,-0.24044773468624012
10,3.0,5,0.14808124818076668
10,5.0,5,0.814046457894267
10,7.0,5,1.225449435528741
10,10.0,5,1.5865373635948474
10,20.0,5,1.986597026677603
10,30.0,5,2.1021018053770875
10,0.25,25,1.3108557468516873
10,0.5,25,1.3219347303166322
10,1.0,25,1.3961924805593902
10,2.0,25,1.665071690595861
10,3.0,25,1.9830449639787577
10,5.0,25,2.480749570877148
10,7.0,25,2.793785212506493
10,10.0,25,3.065440378642509
10,20.0,25,3.3938663226751933
10,30.0,25,3.5010420941283806
10,0.25,50,2.618408333166845
10,0.5,50,2.6394828850124603
10,1.0,50,2.7175719763244324
10,2.0,50,2.946988259789069
10,3.0,50,3.1887652949965597
10,5.0,50,3.5956674810497153
10,7.0,50,3.8632703519119893
10,10.0,50,4.095527132409581
10,20.0,50,4.383080110360151
10,30.0,50,4.4762836007972915
10,0.25,75,3.9700918857233294
10,0.5,75,4.00484383321689
10,1.0,75,4.079260727874756
10,2.0,75,4.27663252533121
10,3.0,75,4.4495014085181115
10,5.0,75,4.741346733630498
10,7.0,75,4.931613259448886
10,10.0,75,5.1140519407675065
10,20.0,75,5.354420660901303
10,30.0,75,5.43859415504697
10,0.25,95,5.911590621201649
10,0.5,95,5.95181616441636
10,1.0,95,6.0537702691187745
10,2.0,95,6.190297409762069
10,3.0,95,6.281128339260743
10,5.0,95,6.4226686584384405
10,7.0,95,6.5317639400972025
10,10.0,95,6.63113228427874
10,20.0,95,6.815609277317532
10,30.0,95,6.894151608625241
